ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
AKL-JFK,1.2278785099247709,1227.878509924771,268.1642,5
FRA-HKG,1.2243104982206408,1224.3104982206407,315.5971875,16
IAD-JED,1.2234056795131845,1223.4056795131844,301.5695,4
CPT-LHR,1.222816569445212,1222.816569445212,272.9267368421053,19
DOH-SEA,1.2175413758723832,1217.5413758723832,366.3582,10
ICN-LAS,1.2150717606630281,1215.071760663028,300.548,4
DXB-GIG,1.2142306414091062,1214.2306414091063,365.362,1
HKG-MXP,1.2109163665466185,1210.9163665466185,320.71384615384613,13
DFW-ICN,1.2079401394204612,1207.9401394204613,281.8757,10
DWC-ZRH,1.2042245989304812,1204.224598930481,45.038000000000004,3
HGH-MAD,1.1969893733717263,1196.9893733717263,271.5224,5
CDG-HND,1.1931361930737414,1193.1361930737414,305.77500000000003,17
BNE-DOH,1.1924891990694586,1192.4891990694587,358.82,18
IAD-PEK,1.1921808208814075,1192.1808208814075,315.153,1
FRA-NRT,1.1915324283559579,1191.5324283559578,209.39833333333334,9
DXB-SEA,1.189581956378057,1189.581956378057,359.9675,2
NRT-ZRH,1.188595588235294,1188.5955882352941,323.298,4
DEL-EWR,1.18768683975705,1187.68683975705,295.8324,5
JED-JFK,1.1862068965517243,1186.2068965517242,292.4,2
ICN-MXP,1.1853891247220538,1185.3891247220538,314.539,8
CDG-SIN,1.1850213095047755,1185.0213095047754,275.41386363636366,22
IAH-SYD,1.179630121309224,1179.630121309224,257.6902,5
DXB-SYD,1.1782167480387682,1178.2167480387682,486.709,10
DOH-ORD,1.1736839481555337,1173.6839481555337,355.5021111111111,18
DXB-MIA,1.169860418743769,1169.8604187437688,352.011,1
HKG-JFK,1.1614679101907501,1161.4679101907502,347.6675555555555,27
EWR-OGG,1.159475167312434,1159.475167312434,164.58749999999998,2
HND-IAH,1.1546593707250343,1154.6593707250343,211.014,4
DXB-IAD,1.152983279201251,1152.9832792012512,479.2375,2
DOH-MEL,1.1524459953472916,1152.4459953472917,346.77099999999996,27
FCO-ICN,1.1512627478430064,1151.2627478430063,269.738,8
CDG-TPE,1.147925345775704,1147.925345775704,344.43499999999995,2
LAX-MEL,1.147550591148453,1147.550591148453,268.0754,20
ATL-LOS,1.1475046161962545,1147.5046161962546,217.5095,2
DXB-MEL,1.1456101118133202,1145.6101118133201,471.304,8
FRA-MEX,1.1452488687782807,1145.2488687782807,354.34,6
