ROUTE,AVERAGE_CO2_TONNES,FLIGHT_COUNT
ISE-JED,31.041,1
DOH-EVN,31.03618181818182,11
ACE-NOC,31.034,2
BER-BEY,31.034,8
DMM-HYD,31.034,2
DOH-SAW,31.031155555555557,45
OVB-VKO,31.02975,8
DXB-RIX,31.027,6
DTW-LAS,31.019684210526318,38
MCO-YQR,31.003999999999998,2
DLM-EMA,31.0015,4
PUS-SPN,31.000999999999998,2
ACE-ZAG,31.000500000000002,2
KUL-MNL,30.993451612903225,31
DCA-PHX,30.990125,8
SCL-SSA,30.988,2
ACE-EDI,30.987000000000002,10
SJU-YUL,30.9865,4
KWI-SKT,30.982,2
BGY-CAI,30.981166666666667,6
SFO-ZIH,30.976333333333333,3
SVO-TAS,30.971875,8
FKB-LPA,30.9635,2
TQO-YOW,30.9605,2
BER-SPX,30.953000000000003,2
DMK-YTY,30.95275,4
SKD-SVO,30.951,2
IND-SFO,30.9485,4
ATL-EGE,30.947333333333333,3
KUL-VTZ,30.942,2
LPA-ZRH,30.94175,16
TFU-YIN,30.933,10
BHX-DLM,30.928714285714285,14
CKG-PEN,30.926000000000002,2
AMM-MXP,30.925,4
KWI-MAA,30.921875,8
KHV-KJA,30.907999999999998,7
JED-TJK,30.904,1
CNN-DOH,30.903166666666664,6
EIN-LPA,30.896800000000002,5
FNC-LPL,30.8965,2
CAI-MUC,30.896071428571428,14
HKG-TAO,30.892625,8
TLS-TLV,30.8915,2
SSH-VRN,30.884153846153847,26
EWR-TQO,30.8825,2
FCO-FUE,30.882,2
MEX-SMF,30.88175,4
AYT-CWL,30.88,2
ATL-SJD,30.87942857142857,21
CUN-YKF,30.878999999999998,4
SJD-YLW,30.8775,2
CXI-NAN,30.875,1
ACE-DUS,30.869875,8
LTN-TFS,30.867375,16
STR-TFS,30.86616666666667,6
KBP-KWI,30.863,2
NGO-XIY,30.856,2
ANU-JFK,30.835875,8
ASR-LGG,30.833,2
AFW-LAL,30.826999999999998,2
TCG-TFU,30.817,4
IAH-SJU,30.809649999999998,20
MAN-SPC,30.808500000000002,4
EMA-RHO,30.8055,4
CGN-FUE,30.802238095238096,21
CDG-PDL,30.799999999999997,6
AQJ-GVA,30.799,1
LIM-SAL,30.795,2
MDE-MEX,30.794375,8
DPS-MNL,30.79075,8
MTY-PTY,30.7865,2
AGP-TRD,30.7855,2
ADB-MED,30.783833333333334,6
EIN-TFS,30.782799999999998,5
MEX-ORD,30.776085714285713,35
CHQ-MAN,30.776,2
DEL-HKT,30.774083333333333,12
VRA-YOW,30.773875,8
EZE-GYE,30.772999999999996,3
HTN-TFU,30.75875,4
FIH-NBO,30.755285714285716,7
LRM-YYZ,30.74675,4
LUX-TFS,30.741111111111106,9
LHR-LXR,30.741,4
EWR-MBJ,30.740499999999997,4
GLA-RAK,30.7395,4
SGN-XIY,30.7385,4
CKG-VTE,30.73625,4
PHL-PLS,30.731,1
BWI-SKF,30.729,1
ACE-GVA,30.728,2
ILG-SJU,30.728,2
IST-OPO,30.727666666666668,12
CAN-JHB,30.727000000000004,2
LPL-OTP,30.7205,2
BNA-SJC,30.715,1
ATL-SLC,30.714020833333333,96
ADD-BUQ,30.7135,2
AGA-VIE,30.713,2
CBR-NAN,30.712999999999997,4
ACE-FRA,30.7101,10
NOU-SYD,30.70975,8
GUM-PUS,30.707,4
AMD-DOH,30.7055,2
CIW-MIA,30.704500000000003,2
DLC-HAK,30.7035,4
GVA-KWI,30.697,2
DOH-TAS,30.6945,4
EBL-STR,30.69,2
CGQ-TFU,30.689,20
MNL-PUS,30.683999999999997,2
DFW-PHL,30.682820000000003,50
RMF-VIE,30.6825,2
AGA-NRN,30.681,2
FUE-STN,30.68075,8
GYD-LED,30.679625,8
ACE-LIL,30.6755,2
PHL-SXM,30.675,1
JED-SCO,30.674,2
GDL-JFK,30.66025,4
OSL-SAW,30.656333333333333,3
KTM-KWI,30.651100000000003,10
SJD-YYC,30.646666666666665,9
AUA-LIM,30.6465,2
MIA-PAP,30.638666666666666,3
FRA-FUE,30.6376,10
HKG-ROR,30.637,2
SJD-YVR,30.634875,8
BHX-RHO,30.631999999999998,4
JED-MRS,30.628,2
MAN-RHO,30.625000000000004,4
JMU-XIY,30.6165,4
DFW-EUG,30.6118,5
KHH-SIN,30.611500000000003,6
ATL-AUA,30.601666666666663,6
LAS-MCO,30.6016,10
MEX-MSP,30.601,4
BJV-LGW,30.6,1
AMS-FNC,30.599666666666668,12
GYD-PRG,30.593,2
BKK-LHW,30.593,2
HRG-KBP,30.5915,4
ORD-YVR,30.587062500000002,16
SAT-SEA,30.58518181818182,11
DLM-DSA,30.5795,2
URC-WUH,30.57407692307692,13
CLT-CUR,30.564999999999998,2
ICN-UBN,30.562708333333333,24
DUB-FUE,30.561500000000002,4
FAT-ORD,30.556,1
IND-LAX,30.553608695652176,23
BSL-TFS,30.548625,8
BCN-HRK,30.5485,2
BOS-GCM,30.548000000000002,2
CLT-UVF,30.548,1
BOH-DLM,30.548,2
CRL-KUT,30.547,2
DTW-MEX,30.533375,8
YLW-YUL,30.526500000000002,2
ACE-LGW,30.52418918918919,37
EWR-SAL,30.521,3
OVB-SVO,30.518700000000003,10
SCL-TRU,30.518,4
AYT-PEE,30.5165,2
EWR-GCM,30.5135,2
JFK-SKB,30.511142857142858,7
CZX-DMK,30.509999999999998,2
HND-TAO,30.507500000000004,6
FRU-SHJ,30.502000000000002,2
DXB-MED,30.492105263157896,19
PFO-RIX,30.488500000000002,2
FRU-SVO,30.48825,8
HRG-PRG,30.485823529411764,34
FUE-PSA,30.483,2
ATL-CUR,30.4815,2
MDE-MIA,30.4795,28
BAH-SAW,30.4795,4
IKT-SVX,30.478,4
ACE-LPL,30.4767,10
ANC-PDX,30.4726,10
FRA-IVL,30.468,2
FRA-IST,30.46779487179487,39
ELQ-ISB,30.4625,2
BKK-LYG,30.46,1
EDI-IST,30.4500625,16
CGN-FNC,30.438499999999998,2
BVA-PFO,30.438,2
ESU-NRN,30.436,2
BWI-LIR,30.4255,2
EMA-TFS,30.42323076923077,26
LAS-TYS,30.42225,4
BZE-ORD,30.422,1
CEB-PVG,30.421,2
JGN-PVG,30.4155,2
HRG-VIE,30.408944444444444,18
SEA-SJD,30.404133333333334,15
OVB-TBS,30.4035,2
CYO-YUL,30.4005,2
CNX-PVG,30.39075,4
DSA-RHO,30.390500000000003,4
SKD-VKO,30.388,4
JTR-MAN,30.386000000000003,2
SLL-TAS,30.381999999999998,2
ACE-SXB,30.381,2
CWL-RHO,30.380666666666666,3
IKT-OSS,30.373333333333335,6
HAN-HYD,30.369500000000002,2
EDI-RAK,30.368499999999997,2
RAK-RTM,30.368,2
FCO-GYD,30.360500000000002,2
LIS-LWO,30.3595,2
MBJ-RFD,30.359,2
MIA-PHX,30.35504081632653,49
CLT-LIR,30.349,2
FAO-OSL,30.3335,2
LEJ-SOF,30.332,2
ACE-LBA,30.329666666666668,6
FUE-LIL,30.329500000000003,2
KHI-MED,30.321999999999996,2
SIN-TRZ,30.314166666666665,18
CBR-PER,30.3135,6
CAN-NGO,30.313,2
AZA-FWA,30.31,1
DMM-SKT,30.31,2
EWR-GUA,30.3075,4
ORD-TQO,30.304499999999997,2
EDI-FNC,30.304499999999997,2
LAS-LEX,30.302999999999997,4
ATL-PTY,30.295266666666667,15
MBJ-YYZ,30.291969696969698,33
IAD-MEX,30.287833333333335,6
MSY-OAK,30.278,1
CJB-SHJ,30.273,2
HGH-RGN,30.2725,2
HOG-YOW,30.261499999999998,2
LYS-TLV,30.256,4
JED-ZNZ,30.255,1
OST-TFS,30.254333333333335,3
AER-SSH,30.24425,4
CGK-HAN,30.238500000000002,6
DLM-LGW,30.236428571428572,28
GDL-PTY,30.235999999999997,2
BDL-CUN,30.235,2
ACE-NCL,30.23383333333333,18
BKK-LYA,30.2335,2
BHX-TFS,30.2320625,32
ORD-PLS,30.22925,4
JED-KYA,30.229,6
BOS-SDQ,30.227,12
SIN-VTZ,30.2265,4
LAS-PIT,30.22633333333333,9
LXA-PEK,30.221333333333334,6
BQN-EWR,30.22066666666667,3
DUS-TZX,30.216749999999998,4
MSP-TQO,30.215999999999998,3
ACE-STN,30.21558333333333,12
SIN-SYX,30.209,1
IAH-MDE,30.2035,2
SIN-TRV,30.2015,4
DFW-YVR,30.197578947368424,19
KGS-MAN,30.19575,8
DLM-STN,30.195,8
CLT-SJU,30.191714285714284,7
BOS-PUJ,30.183375,8
KEF-MXP,30.182,10
CGN-PFO,30.1805,2
EMA-KGS,30.180000000000003,6
AGP-GDN,30.17825,4
KRL-SJW,30.1705,2
HLE-JNB,30.168,1
BHK-IST,30.162750000000003,8
DXB-GUW,30.1625,2
PHL-STT,30.157666666666668,3
AEP-BPS,30.1475,2
CDG-LPA,30.1395,4
JER-TFS,30.139499999999998,2
IAH-SJO,30.13383333333333,12
TLV-ZRH,30.131153846153843,13
FUE-NUE,30.122705882352943,17
BOS-STI,30.12,8
DTW-MBJ,30.1184,10
LPA-SCN,30.113833333333332,6
VRA-YUL,30.109611111111107,18
LED-OMS,30.109499999999997,6
LAX-MEX,30.107311688311686,77
GDL-SEA,30.107,12
BOS-PLS,30.1035,4
HND-NRT,30.093727272727275,11
EMA-HER,30.0925,2
CSX-TLQ,30.091500000000003,2
FUE-LBA,30.0895,6
DFW-PLS,30.081,2
AMS-ASR,30.08025,4
MID-YYZ,30.0795,2
FRU-KWI,30.075000000000003,2
HRB-XMN,30.06266666666667,3
KBP-MAD,30.061500000000002,2
AYT-OSL,30.061500000000002,4
NCE-RVN,30.058999999999997,2
ACE-ORY,30.05725,8
LST-PER,30.0568,5
MFM-ROR,30.055500000000002,2
DRW-MEL,30.052400000000002,25
MBJ-ORD,30.051000000000002,6
BGY-TOS,30.0485,2
DUB-RMO,30.037833333333335,6
BJV-STN,30.0275,2
IST-NTE,30.0245,2
AVL-PHX,30.019000000000002,6
IAH-YYC,30.01670588235294,17
IAD-SLC,30.015875,8
CAN-MDC,30.01175,4
IST-SYZ,30.006999999999998,2
DME-LBD,30.00625,4
FNC-NCL,30.005000000000003,2
ISB-NJF,30.003999999999998,2
BHX-KGS,29.9985,4
CKG-URC,29.9971875,16
EZS-FRA,29.993,2
KAO-VLC,29.989,1
RIX-TAS,29.9865,4
BKI-PVG,29.986166666666666,6
CUN-TIJ,29.98559090909091,22
GZT-STN,29.985500000000002,2
CGO-DMK,29.982,6
ACF-TFU,29.981666666666666,3
DFW-PDX,29.9815303030303,66
KSQ-SVO,29.981,2
ADB-DUB,29.97825,4
SHF-SJW,29.9765,2
FNC-MUC,29.97325,8
ACE-GLA,29.96992857142857,14
EZS-JED,29.968,2
CMN-DSS,29.96661111111111,18
PUJ-STL,29.9635,2
DMM-SAW,29.962,6
RHO-STN,29.96,4
AQJ-MXP,29.9595,2
LPA-OST,29.9595,2
AMM-SAH,29.959,4
LXR-MXP,29.9515,4
CDG-TFS,29.940571428571428,7
CGO-KRL,29.9365,14
CZM-YUL,29.93575,4
BSL-LCA,29.935499999999998,2
FNC-GLA,29.935000000000002,2
BOS-STT,29.93133333333333,3
AGP-KEF,29.93125,4
IST-RVN,29.929,4
HKG-SHE,29.925,4
CMB-TFU,29.921,2
KYA-RTM,29.9185,2
AMS-GZP,29.918499999999998,14
ASR-RTM,29.9121875,16
AYT-TLL,29.910249999999998,4
BHK-SVO,29.904,2
AKU-CKG,29.901,2
ACE-TRN,29.9,2
CFG-YUL,29.899,1
UGC-ZIA,29.8975,2
AUH-KUT,29.8975,4
FCO-TFS,29.88957142857143,7
EGE-MIA,29.88925,4
BOI-CVG,29.8885,2
HKG-PVG,29.884144578313254,83
TNA-URC,29.881823529411765,34
MXP-PDL,29.877499999999998,2
AGP-ATH,29.8755,4
HKT-TPE,29.8735,2
BWN-HKG,29.8695,4
PDL-PRG,29.860500000000002,2
BUF-LAS,29.8575,2
OIT-XIY,29.8555,2
JED-OSS,29.853,2
BHX-BJV,29.851,2
JFK-MTY,29.846999999999998,3
NKC-TUN,29.840999999999998,6
AUS-PTY,29.838,2
ACE-DSA,29.832000000000004,6
DSA-KGS,29.8245,2
AGA-FRA,29.824,5
NAP-RMF,29.823999999999998,2
DYG-KUL,29.8235,2
BHX-HER,29.8235,6
DWC-MLE,29.822444444444443,9
DWC-OTP,29.820100000000004,10
MEX-SDQ,29.817500000000003,2
AGP-BGO,29.801000000000002,2
BKI-HKG,29.795666666666666,6
IVL-ORY,29.79525,4
BHX-LPA,29.794666666666664,18
ALC-KBP,29.7925,2
DXB-ROV,29.7925,2
BZN-EWR,29.792,3
IST-MHD,29.7905,2
BKK-YNT,29.78875,4
BQN-JFK,29.788099999999996,10
ROC-YYZ,29.783,1
DEN-NAS,29.781,1
EMA-FNC,29.7795,2
EHU-HRB,29.7735,2
SNU-YYZ,29.771749999999997,12
MLM-SJC,29.767000000000003,4
BCN-TLL,29.7665,2
AUA-CLT,29.762,2
FRA-GZT,29.759999999999998,4
FLN-IQQ,29.754,1
MAH-MAN,29.753,3
NGO-TPE,29.7526,25
GCM-NAS,29.749,1
ICN-KMG,29.741,2
EMA-LPA,29.74,10
MXP-TLV,29.73321875,32
DMK-TXN,29.7295,2
CWL-KGS,29.7295,2
BOH-RHO,29.7295,2
LPA-STR,29.71925,8
CGO-NRT,29.718,2
CGO-URC,29.717743589743588,39
CUN-YXU,29.7175,6
DLC-HND,29.7145,6
LCA-LHR,29.707818181818183,11
EWR-SDQ,29.707625,8
COV-DUS,29.69625,4
EWR-PUJ,29.69344444444444,9
AER-OSS,29.683500000000002,2
BAV-HAK,29.682000000000002,6
YLW-YYZ,29.681071428571425,14
CGQ-EHU,29.676499999999997,2
BON-IAH,29.676000000000002,2
ACE-BHX,29.67304347826087,23
FUE-SNN,29.6675,2
BCN-OZH,29.6665,2
AER-SCW,29.6635,4
GVA-SPX,29.6625,2
ANR-LPA,29.66,2
CAI-LEJ,29.656,1
AGA-LBA,29.6545,2
IND-SEA,29.652888888888885,9
KUL-LBJ,29.6515,2
IAH-STT,29.641,2
MAO-PTY,29.6405,8
KRK-RAK,29.638,2
BDL-MBJ,29.6265,2
MED-SZF,29.621333333333336,6
COV-HAJ,29.621000000000002,2
MCT-TZX,29.619500000000002,2
NVT-REC,29.6155,2
PSA-TFS,29.61375,4
MRU-TNR,29.608714285714285,7
MSP-SAN,29.60715,20
PEN-XMN,29.6035,2
ALC-TRD,29.603499999999997,2
BSL-LPA,29.587416666666666,12
ORD-SMF,29.5823125,16
ACE-DUB,29.581142857142858,14
DYU-KJA,29.5805,2
CIT-SVO,29.579,2
CGK-SOQ,29.5735,8
EWR-SAP,29.569000000000003,2
HKG-PNH,29.567500000000003,10
DEL-KMG,29.566000000000003,2
ESB-STN,29.56414285714286,7
ATL-TUS,29.563142857142857,28
ARN-FNC,29.561500000000002,2
MIA-POS,29.561461538461536,13
KBP-MIR,29.5595,2
LPA-LTN,29.554000000000002,4
LIM-SCL,29.552563636363637,55
MFM-PUS,29.5475,4
CMN-ROB,29.543142857142858,7
CTU-HKT,29.54,2
JAI-KUL,29.538,2
CUN-PIT,29.5375,2
BLL-GZP,29.5375,4
SSH-VCE,29.53725,4
CGR-REC,29.537,2
FKB-FUE,29.5355,2
TFS-TLL,29.534,2
JFK-PUJ,29.532359999999997,25
HAK-HET,29.532166666666665,12
BON-EWR,29.528,2
BHK-LED,29.52375,4
LIM-MDZ,29.523000000000003,2
BHX-CHQ,29.5225,4
KUL-MFM,29.520166666666668,6
ADD-MCT,29.514,4
CDG-LCA,29.511625,8
CLT-SXM,29.509,2
MSP-MZT,29.507500000000004,6
NGO-SZX,29.507500000000004,4
COR-LIM,29.503500000000003,4
MRU-SEZ,29.495,8
BRS-DLM,29.490000000000002,4
BER-TLV,29.48561538461539,26
AKU-XIY,29.48,5
CAI-GVA,29.477500000000003,6
DAC-MLE,29.4775,2
HVN-SJU,29.472,2
DPS-KUL,29.469971014492756,69
IST-OSL,29.464,22
HRG-LNZ,29.46225,8
CWL-LPA,29.4615,4
AUH-COK,29.457346153846157,26
FKB-TFS,29.4565,2
CKG-HRB,29.455625,8
BPL-CTU,29.4545,2
PBH-SIN,29.453,1
AGA-HHN,29.451999999999998,2
FLL-LIM,29.451999999999998,2
ACE-ZRH,29.448,5
CZM-MSP,29.447000000000003,3
DFW-LIR,29.447000000000003,2
HGH-SGN,29.4465,2
MSP-SMF,29.446357142857146,14
FUK-TPE,29.442999999999998,44
JFK-YUL,29.4415,10
LZY-PEK,29.439500000000002,4
BRS-TFS,29.439241379310342,29
DOH-PEW,29.4369375,16
COK-SHJ,29.43425,8
GDN-KEF,29.421,2
MDW-MLM,29.421,8
BGY-SSH,29.418,4
CCC-YUL,29.416333333333334,18
DXB-KRR,29.415,1
LCA-LTN,29.41225,4
ORD-PDX,29.40951724137931,29
IST-MXP,29.40802857142857,35
EWR-IAH,29.40194117647059,51
CWL-TFS,29.398571428571426,14
SHE-SZX,29.398052631578945,38
DOH-JIB,29.39342857142857,7
JFK-PSE,29.3885,4
KJA-KZN,29.38725,4
BZN-IAH,29.387,3
NLU-PUJ,29.386499999999998,12
DIY-HAJ,29.3832,5
FNC-LBA,29.374499999999998,2
KMG-SIN,29.373375,8
HRB-KHN,29.37275,4
GRR-PHX,29.37075,4
MTY-OAK,29.36875,4
BTS-HRG,29.36733333333333,9
AGA-LIL,29.362000000000002,4
GUM-MNL,29.36057142857143,7
MIA-UVF,29.357857142857142,7
ANR-TFS,29.352,2
CKG-KIX,29.351,4
AMS-SAW,29.345499999999998,20
BAH-HYD,29.3425,4
COK-DMK,29.33625,4
FNC-VIE,29.3355,2
JED-NMA,29.333,2
IST-TIF,29.323999999999998,2
LGW-SPC,29.32125,4
GRZ-HRG,29.319333333333333,6
AYT-HEL,29.319000000000003,2
RMF-VCE,29.3085,2
DBV-MAN,29.307799999999997,5
ORD-PSP,29.299200000000003,10
BRS-LPA,29.296187500000002,16
ORY-SAW,29.292875000000002,8
MCT-TRZ,29.289,4
HRG-TAT,29.289,2
LTN-RHO,29.2885,2
DUS-OGU,29.288,2
ATL-STX,29.287,4
GYD-VKO,29.2866,10
GZT-ZRH,29.2845,2
COV-MED,29.281599999999997,5
AGP-CLJ,29.2815,2
AUH-CJB,29.2815,2
GYD-OVB,29.281375,8
NTG-PNH,29.278,2
KWI-MUC,29.2735,2
AZA-GRR,29.2734,5
AKU-TFU,29.271333333333335,12
AUA-BWI,29.262,2
ACE-MXP,29.260428571428573,7
DRW-SIN,29.255,12
HAN-PVG,29.254466666666666,15
CNX-TPE,29.25433333333333,12
DFW-SJO,29.2535,4
PHX-TYS,29.251749999999998,4
KUL-TRZ,29.24791666666667,12
ALG-CAI,29.247125,8
DME-IST,29.245250000000002,4
FNC-STN,29.243000000000002,4
FNC-STR,29.234250000000003,4
ADB-BHX,29.231,4
CDG-ESB,29.2275,2
AGA-EDI,29.227,4
RGN-TPE,29.226,2
HKG-TKS,29.2255,2
KWE-URC,29.225142857142856,7
AGA-FKB,29.222,2
BFS-FNC,29.22,2
GVA-TFS,29.20625,4
SPX-ZRH,29.2035,4
JED-MJI,29.201999999999998,4
GDN-LCA,29.197499999999998,2
DOH-IXE,29.1875,4
EVN-LED,29.181,14
SHJ-TRV,29.18041666666667,12
JED-SAW,29.17664705882353,17
HGH-MNL,29.174750000000003,4
CAI-MXP,29.16725,24
KIX-MFM,29.1665,4
BCN-SAW,29.1665,4
EMA-JTR,29.163,2
CIT-VKO,29.163,2
BOG-VVI,29.1625,2
LPQ-SZX,29.158,2
KTT-ORY,29.144,2
DOL-RHO,29.1435,2
KMG-TVS,29.143,1
DXB-JIB,29.1416,5
DMK-HFE,29.1385,2
ARN-MAD,29.13147368421053,19
CAI-DUS,29.12833333333333,6
ACE-NRN,29.125999999999998,2
DUS-FNC,29.12177777777778,9
TOS-VIE,29.1215,2
MXP-TOS,29.11625,4
MDW-SFO,29.115,1
HER-STN,29.114,2
AUH-LKO,29.113,2
FUE-LGW,29.111863636363637,22
ACE-PRG,29.107166666666668,6
BNA-SMF,29.1065,4
CDT-OTP,29.1065,2
MDW-OAK,29.101666666666663,3
CCS-VVI,29.10025,4
HOU-PUJ,29.0985,2
ADD-BLZ,29.097,1
FRA-TZX,29.097,2
MUC-RAK,29.095,4
ALB-DFW,29.092333333333332,3
IKT-VVO,29.0905,2
IST-ORN,29.087,10
NGB-SGN,29.0845,2
FIH-JNB,29.0796,5
AGP-OTP,29.07275,8
LIS-POZ,29.0685,2
MCO-YWG,29.063999999999997,6
FCO-RMF,29.063666666666666,6
DCA-DEN,29.061700000000002,10
BHK-VKO,29.0615,4
OTP-VLC,29.058,2
KMG-MAA,29.049,2
SFO-STL,29.047857142857143,7
BHK-DME,29.046,2
GVA-HRG,29.04585714285714,7
BNE-DRW,29.04380769230769,26
BWI-BZE,29.043,2
JHG-NGB,29.042333333333332,3
KGS-SVO,29.037,2
MED-TJK,29.035,1
AGP-POZ,29.0295,4
PDX-SJD,29.0215,4
PBM-PTY,29.0175,2
KRY-PEK,29.017,3
LED-SAW,29.016,2
HAK-TVS,29.015500000000003,2
JED-VAN,29.015,1
PKX-VTE,29.0122,5
BGY-LPA,29.012,3
DFW-MIA,29.009873873873875,111
COK-SLL,29.006999999999998,4
AMD-JED,28.998,3
HAN-PEK,28.99575,8
TOS-ZRH,28.995666666666665,6
AGP-KUN,28.988750000000003,4
BSL-FNC,28.986,2
IAH-SMF,28.985888888888887,9
KMG-LHE,28.9845,2
DAC-XIY,28.984,2
NWI-RHO,28.974,2
KOJ-XIY,28.973999999999997,2
ATL-PUJ,28.973578947368424,19
KGD-SVX,28.966,2
KLO-PUS,28.9635,2
BCN-RMO,28.9625,2
GAU-SIN,28.962,2
DUB-OTP,28.960500000000003,10
DAM-KHI,28.945999999999998,2
DMK-XIY,28.94575,8
DUS-LCA,28.94475,4
DFW-YYC,28.943285714285715,14
BER-RAK,28.94275,4
CKG-HKT,28.939333333333334,6
PQC-TPE,28.935500000000005,18
ATL-CTG,28.929000000000002,8
AYT-CDG,28.9265,4
ACE-LTN,28.922214285714286,14
ACE-EMA,28.92136842105263,19
BHX-FUE,28.920625,16
CAI-MCT,28.9197,10
FUK-MNL,28.9115,6
VVO-XIY,28.911,2
AGA-DUB,28.911,2
JFK-SJU,28.91036,125
IND-LAS,28.90986666666667,15
HKG-PKX,28.904833333333336,18
IST-KZN,28.90475,4
CTS-PKX,28.902,2
BSL-FUE,28.899,6
MIA-YYZ,28.89878571428571,28
CTU-PVG,28.895979591836735,98
MOT-SFB,28.894750000000002,4
MSP-SJC,28.893124999999998,8
FNC-FRA,28.889499999999998,14
ACE-BSL,28.88925,4
EZE-SSA,28.8875,2
MAD-OTP,28.879142857142856,14
GFK-SFB,28.878,2
DUB-FNC,28.877499999999998,2
TAO-URC,28.874,3
CGN-GZT,28.872666666666664,3
ASR-JED,28.871666666666666,6
DEN-MCO,28.86508163265306,49
AMS-ESB,28.865000000000002,4
LPA-SNN,28.862499999999997,2
GRR-LAS,28.857,5
HBE-SHJ,28.856333333333335,6
DAL-PDX,28.847,2
HEL-LHR,28.846276315789474,76
DTW-SLC,28.845925,40
FNC-GVA,28.8455,2
DMK-TRZ,28.8445,2
CUN-YHM,28.8356,5
FAE-LPA,28.829,2
LIS-WMI,28.8285,2
ELQ-MUX,28.826999999999998,2
ORD-SEA,28.821333333333335,93
HRG-NRN,28.821,1
BLQ-SSH,28.815571428571428,14
CTG-LIM,28.81525,4
DXB-FRU,28.813,4
ASU-LIM,28.8105,6
DTM-KUT,28.807499999999997,2
MED-TUN,28.801,1
BUD-KEF,28.797,2
PVD-SJU,28.7955,2
LAX-RSW,28.794,1
PHL-PUJ,28.79357142857143,7
LPA-TLL,28.79,4
DEL-KBL,28.789749999999998,4
LPA-TMP,28.789,2
KIN-YYZ,28.77857142857143,14
BWA-DMK,28.7755,2
DAC-KMG,28.77275,4
JFK-MBJ,28.7715,14
HAN-HKG,28.764477272727273,44
BRS-HER,28.7635,4
HKG-KCH,28.759,1
AGA-KRK,28.758,2
EWR-SAT,28.748125,8
USM-XIY,28.7455,2
ACE-BRE,28.7425,2
EBL-HAJ,28.740000000000002,4
HHN-KUT,28.739,2
KGD-OVB,28.735500000000002,2
BAR-DSN,28.735333333333333,3
EWR-POP,28.735,2
KUL-TRV,28.733624999999996,8
DUS-SZF,28.73275,4
FNC-MAN,28.714916666666667,12
SIN-SZX,28.71405555555556,18
MXP-RVN,28.7115,14
JHG-NKG,28.709142857142854,21
DLA-NBO,28.709,6
DTW-PLS,28.707,1
BER-GZT,28.7065,2
DXB-ESB,28.701166666666666,6
FAT-MLM,28.6755,4
BUF-PHX,28.67525,4
HRG-LJU,28.6725,2
CGQ-CKG,28.6718,10
JED-OTP,28.6715,2
CGK-MNL,28.6695,6
DEN-SRQ,28.667,1
MCO-MSP,28.664921568627452,51
DCA-SLC,28.664,1
GLA-RHO,28.6595,4
CNN-RKT,28.659000000000002,6
MIA-MSP,28.65644827586207,29
BLR-DMK,28.653750000000002,4
BSL-TLV,28.649,4
BDL-DEN,28.647750000000002,4
CGQ-CTU,28.6465,2
KEF-MAD,28.64575,4
CNF-RBR,28.641,2
BJV-BRS,28.639,2
LPA-LUX,28.63875,8
MNL-TPE,28.633783783783784,37
BWN-MAA,28.628,2
IVL-ZRH,28.621,4
ORK-TFS,28.619666666666664,6
DEN-GCM,28.6175,2
LIM-SJO,28.616999999999997,2
RIX-TFS,28.615499999999997,4
AGA-DUS,28.613599999999998,5
CRK-ICN,28.610333333333333,12
CXR-TFU,28.603,4
FLL-MSP,28.60065,20
GYD-LHE,28.5875,2
BVC-LIS,28.587000000000003,2
HEL-SAW,28.5835,2
BRS-IST,28.576999999999998,2
BLQ-FUE,28.57675,4
IGU-REC,28.569000000000003,2
GVA-RVN,28.569,2
KBL-RUH,28.5635,2
PEN-SZX,28.55633333333333,6
YOW-YYC,28.556142857142856,21
DUS-KYA,28.5505,2
CPH-KYA,28.548333333333332,6
ASR-DUS,28.548000000000002,11
BKK-HFE,28.5455,4
FUE-MXP,28.545357142857142,14
DSS-TUN,28.537,1
HKG-YGJ,28.5325,2
HYD-RUH,28.5325,6
CRL-FNC,28.5305,2
BIS-SFB,28.523249999999997,4
CAN-TPE,28.52025,24
CTG-MEX,28.5195,2
BFS-RAK,28.511,2
NLU-SDQ,28.507,12
SHJ-SPX,28.5065,2
RAP-SFB,28.5,2
DXB-VOG,28.5,4
DPS-SIN,28.49780357142857,112
LAX-MSP,28.49678431372549,51
TFS-VNO,28.4955,4
ADD-KWI,28.49,6
MDW-SEA,28.489,2
AUH-TAS,28.4865,8
POM-SYD,28.48525,4
CNX-MNL,28.4835,2
SJW-URC,28.46957142857143,7
ACE-STR,28.468,6
LAX-STL,28.464499999999997,22
GRU-MCP,28.4625,2
KGD-UFA,28.4595,2
TIA-TRF,28.4595,2
AZA-CVG,28.448999999999998,2
BWN-ICN,28.4465,2
SEA-STL,28.446368421052632,19
DMK-LHW,28.442,2
MJI-PZU,28.439,2
BLR-KUL,28.433000000000003,12
DEN-PVD,28.432000000000002,2
MCO-YSJ,28.423499999999997,2
KRK-LIS,28.4215,2
KIX-SZX,28.416071428571428,14
AMM-BGY,28.416,2
AMM-TUN,28.413,4
BKK-CZX,28.4115,2
HER-NWI,28.4075,2
ATH-DUB,28.405,6
BJX-FAT,28.3965,2
KEF-KTW,28.392000000000003,2
MDW-SJC,28.387,2
CWB-SCL,28.385666666666665,6
ALC-ARN,28.3844375,16
TCG-XIY,28.38425,8
CKG-KRL,28.38275,8
CUN-DTW,28.38070833333333,24
JHG-PEK,28.37975,4
DUB-MLA,28.3745,4
LYS-RVN,28.369,2
BUR-STL,28.356499999999997,2
SJU-STL,28.354,1
CSX-HRB,28.353333333333335,15
